Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:14.961;674467748925266118;-987;12;-325
2021-05-16T08:09:15.001;674467748964849034;-988;13;-316
2021-05-16T08:09:15.041;674467749004431950;-989;12;-307
2021-05-16T08:09:15.080;674467749044014866;-990;9;-298
2021-05-16T08:09:15.120;674467749083597782;-990;6;-293
2021-05-16T08:09:15.159;674467749123180698;-991;6;-287
2021-05-16T08:09:15.199;674467749162763614;-990;10;-276
2021-05-16T08:09:15.238;674467749202346530;-990;13;-267
2021-05-16T08:09:15.278;674467749241929446;-991;14;-266
2021-05-16T08:09:15.318;674467749281510815;-992;15;-261
2021-05-16T08:09:15.357;674467749321092170;-993;15;-254
2021-05-16T08:09:15.397;674467749360673525;-994;13;-250
2021-05-16T08:09:15.436;674467749400254880;-994;10;-248
2021-05-16T08:09:15.476;674467749439836235;-995;10;-245
2021-05-16T08:09:15.516;674467749479417590;-995;11;-244
2021-05-16T08:09:15.555;674467749518998945;-995;13;-245
2021-05-16T08:09:15.595;674467749558580300;-995;18;-241
2021-05-16T08:09:15.634;674467749598161655;-993;16;-235
2021-05-16T08:09:15.674;674467749637743010;-995;11;-234
2021-05-16T08:09:15.713;674467749677324365;-997;14;-236
2021-05-16T08:09:15.753;674467749716905720;-998;16;-237
2021-05-16T08:09:15.793;674467749756487075;-1000;15;-237
2021-05-16T08:09:15.832;674467749796068430;-1000;14;-235
2021-05-16T08:09:15.872;674467749835649785;-998;12;-232
2021-05-16T08:09:15.911;674467749875231140;-997;12;-231
2021-05-16T08:09:15.951;674467749914812495;-997;11;-230
2021-05-16T08:09:15.991;674467749954393850;-997;6;-231
2021-05-16T08:09:16.030;674467749993975205;-996;5;-233
2021-05-16T08:09:16.070;674467750033556560;-996;6;-231
2021-05-16T08:09:16.109;674467750073137915;-995;8;-231
2021-05-16T08:09:16.149;674467750112719270;-994;12;-230
2021-05-16T08:09:16.188;674467750152300625;-998;18;-229
2021-05-16T08:09:16.228;674467750191881980;-998;19;-226
2021-05-16T08:09:16.268;674467750231463335;-997;16;-227
2021-05-16T08:09:16.307;674467750271044690;-999;16;-232
2021-05-16T08:09:16.347;674467750310626045;-999;15;-235
2021-05-16T08:09:16.386;674467750350207400;-1001;15;-233
2021-05-16T08:09:16.426;674467750389788755;-1001;16;-231
2021-05-16T08:09:16.465;674467750429370110;-999;18;-232
2021-05-16T08:09:16.505;674467750468951465;-996;18;-228
